timestamp,keyword,asin,price,rating,review_count,bsr,rank_page,rank_position,rank_absolute,product_url
2025-10-02T21:32:51.940595+00:00,sari,B0F8ZLHTGK,,4.2 out of 5,704 ratings,"Best Sellers Rank: #1,266 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #50 in Women's Sarees",,,,https://www.amazon.in/dp/B0F8ZLHTGK
2025-10-02T21:33:05.017223+00:00,sari,B0CRYPC7XL,,4 out of 5,250 ratings,"Best Sellers Rank: #2,616 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #131 in Women's Sarees",,,,https://www.amazon.in/dp/B0CRYPC7XL
2025-10-02T21:33:17.513360+00:00,sari,B0CZ9QTV8V,,3.8 out of 5,742 ratings,Best Sellers Rank: #421 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #9 in Women's Sarees,,,,https://www.amazon.in/dp/B0CZ9QTV8V
2025-10-02T21:33:19.751289+00:00,sari,B0D8GYHB4M,,3.7 out of 5,"1,272 ratings",Best Sellers Rank: #208 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #4 in Women's Sarees,1.0,6.0,6.0,https://www.amazon.in/dp/B0D8GYHB4M
2025-10-02T21:33:32.529477+00:00,sari,B0DBVLNP1B,,4.1 out of 5,152 ratings,"Best Sellers Rank: #4,498 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #222 in Women's Sarees",,,,https://www.amazon.in/dp/B0DBVLNP1B
2025-10-02T21:33:45.376173+00:00,sari,B0D3F9QDNX,,3.8 out of 5,11 ratings,"Best Sellers Rank: #187,974 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #10,835 in Women's Sarees",,,,https://www.amazon.in/dp/B0D3F9QDNX
2025-10-02T21:33:58.149778+00:00,sari,B0D3F7JZH3,,3.4 out of 5,18 ratings,"Best Sellers Rank: #75,074 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #4,003 in Women's Sarees",,,,https://www.amazon.in/dp/B0D3F7JZH3
2025-10-02T21:34:00.122282+00:00,sari,B0D45KZNYM,,3.8 out of 5,759 ratings,Best Sellers Rank: #397 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #7 in Women's Sarees,1.0,52.0,52.0,https://www.amazon.in/dp/B0D45KZNYM
2025-10-02T21:34:13.109282+00:00,sari,B07GWRZ29S,,3.9 out of 5,922 ratings,"Best Sellers Rank: #13,978 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #716 in Women's Sarees",,,,https://www.amazon.in/dp/B07GWRZ29S
2025-10-02T21:34:25.321215+00:00,sari,B0DV4HB9D2,,4.2 out of 5,141 ratings,"Best Sellers Rank: #1,354 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #57 in Women's Sarees",,,,https://www.amazon.in/dp/B0DV4HB9D2
2025-10-02T21:34:29.521957+00:00,sari,B0CXM8L2CK,,4.1 out of 5,317 ratings,"Best Sellers Rank: #2,689 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #130 in Women's Sarees",2.0,31.0,91.0,https://www.amazon.in/dp/B0CXM8L2CK
2025-10-02T21:34:41.990298+00:00,sari,B0BFHH48C5,,4 out of 5,47 ratings,"Best Sellers Rank: #16,815 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #856 in Women's Sarees",,,,https://www.amazon.in/dp/B0BFHH48C5
2025-10-02T21:34:54.131051+00:00,sari,B0BF54WCRW,,3.9 out of 5,25 ratings,"Best Sellers Rank: #79,909 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #4,284 in Women's Sarees",,,,https://www.amazon.in/dp/B0BF54WCRW
2025-10-02T21:35:06.126217+00:00,sari,B0BQP39CZJ,,4.3 out of 5,10 ratings,"Best Sellers Rank: #42,747 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #2,177 in Women's Sarees",,,,https://www.amazon.in/dp/B0BQP39CZJ
2025-10-02T21:35:19.043818+00:00,sari,B0D4VF623W,,4.3 out of 5,3 ratings,"Best Sellers Rank: #280,865 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #16,378 in Women's Sarees",,,,https://www.amazon.in/dp/B0D4VF623W
2025-10-02T21:35:31.599442+00:00,sari,B0CRTNTNPL,,4.1 out of 5,530 ratings,"Best Sellers Rank: #3,036 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #151 in Women's Sarees",,,,https://www.amazon.in/dp/B0CRTNTNPL
2025-10-02T21:35:43.591754+00:00,sari,B0C9NNN8BH,,4.5 out of 5,12 ratings,"Best Sellers Rank: #29,692 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #1,511 in Women's Sarees",,,,https://www.amazon.in/dp/B0C9NNN8BH
2025-10-02T21:35:56.354551+00:00,sari,B09BZRDTMT,,4 out of 5,261 ratings,"Best Sellers Rank: #6,960 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #365 in Women's Sarees",,,,https://www.amazon.in/dp/B09BZRDTMT
2025-10-02T21:36:09.254407+00:00,sari,B0DNQ538X8,,4.3 out of 5,100 ratings,"Best Sellers Rank: #5,808 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #300 in Women's Sarees",,,,https://www.amazon.in/dp/B0DNQ538X8
2025-10-02T21:36:21.635140+00:00,sari,B0DV357YWC,,4.3 out of 5,69 ratings,"Best Sellers Rank: #8,531 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #439 in Women's Sarees",,,,https://www.amazon.in/dp/B0DV357YWC
2025-10-02T21:36:33.710106+00:00,sari,B0DKY8FMFN,,4 out of 5,12 ratings,"Best Sellers Rank: #39,165 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #1,999 in Women's Sarees",,,,https://www.amazon.in/dp/B0DKY8FMFN
2025-10-02T21:36:46.334687+00:00,sari,B0DB8S9KW7,,,,"Best Sellers Rank: #1,761,201 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #109,060 in Women's Sarees",,,,https://www.amazon.in/dp/B0DB8S9KW7
2025-10-02T21:36:58.732079+00:00,sari,B0FJ2YFP76,,,,"Best Sellers Rank: #59,585 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #3,090 in Women's Sarees",,,,https://www.amazon.in/dp/B0FJ2YFP76
2025-10-02T21:37:10.798634+00:00,sari,B0FKYD9928,,4.8 out of 5,8 ratings,"Best Sellers Rank: #10,297 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #532 in Women's Sarees",,,,https://www.amazon.in/dp/B0FKYD9928
2025-10-02T21:37:24.324885+00:00,crepe saree,B0D3F9QDNX,,3.8 out of 5,11 ratings,"Best Sellers Rank: #187,974 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #10,835 in Women's Sarees",,,,https://www.amazon.in/dp/B0D3F9QDNX
2025-10-02T21:37:36.031033+00:00,crepe saree,B0D3F7JZH3,,3.4 out of 5,18 ratings,"Best Sellers Rank: #75,074 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #4,003 in Women's Sarees",,,,https://www.amazon.in/dp/B0D3F7JZH3
2025-10-02T21:37:48.495777+00:00,crepe saree,B0D45KZNYM,,3.8 out of 5,759 ratings,Best Sellers Rank: #397 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #7 in Women's Sarees,,,,https://www.amazon.in/dp/B0D45KZNYM
2025-10-02T21:38:01.017718+00:00,crepe saree,B07GWRZ29S,,3.9 out of 5,922 ratings,"Best Sellers Rank: #13,978 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #716 in Women's Sarees",,,,https://www.amazon.in/dp/B07GWRZ29S
2025-10-02T21:38:13.828386+00:00,crepe saree,B0DV4HB9D2,,4.2 out of 5,141 ratings,"Best Sellers Rank: #1,354 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #57 in Women's Sarees",,,,https://www.amazon.in/dp/B0DV4HB9D2
2025-10-02T21:38:25.060547+00:00,crepe saree,B0CXM8L2CK,,4.1 out of 5,317 ratings,"Best Sellers Rank: #2,689 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #130 in Women's Sarees",,,,https://www.amazon.in/dp/B0CXM8L2CK
2025-10-02T21:38:38.096917+00:00,saree printed,B0D3F9QDNX,,3.8 out of 5,11 ratings,"Best Sellers Rank: #187,974 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #10,835 in Women's Sarees",,,,https://www.amazon.in/dp/B0D3F9QDNX
2025-10-02T21:38:40.420499+00:00,saree printed,B0D3F7JZH3,,3.4 out of 5,18 ratings,"Best Sellers Rank: #75,074 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #4,003 in Women's Sarees",1.0,22.0,22.0,https://www.amazon.in/dp/B0D3F7JZH3
